run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,K_0,K_1
m3glvq_k0_4_k1_4_eta_0003,1,1620,405,0.5349106794221008,0.6586538461538461,0.541501976284585,0.5943600867678958,0.5382716049382716,42,"{0: 4, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5772577296023881,0.2757994551744045,0.1469428152232073,"[1585, 198, 366, 447, 984, 1442, 1433, 201]","[1585, 198, 366, 447]","[984, 1442, 1433, 201]",4,4
m3glvq_k0_4_k1_4_eta_0003,2,1620,405,0.5590833658727059,0.7019230769230769,0.5593869731800766,0.6226012793176972,0.562962962962963,42,"{0: 4, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3648846032517036,0.5163406342351887,0.1187747625131075,"[1247, 1351, 1548, 1541, 1359, 1442, 1392, 87]","[1247, 1351, 1548, 1541]","[1359, 1442, 1392, 87]",4,4
m3glvq_k0_4_k1_4_eta_0003,3,1620,405,0.5562143170838822,0.6376811594202898,0.559322033898305,0.5959367945823927,0.5580246913580247,42,"{0: 4, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4013720198432869,0.4689343418227931,0.12969363833392,"[985, 504, 957, 14, 1008, 1444, 194, 1064]","[985, 504, 957, 14]","[1008, 1444, 194, 1064]",4,4
m3glvq_k0_4_k1_4_eta_0003,4,1620,405,0.5996925779534475,0.7246376811594203,0.5905511811023622,0.6507592190889371,0.6024691358024692,42,"{0: 4, 1: 4}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5604777220252475,0.2740427958102787,0.1654794821644738,"[233, 1005, 1048, 1474, 1368, 759, 1025, 1258]","[233, 1005, 1048, 1474]","[1368, 759, 1025, 1258]",4,4
m3glvq_k0_4_k1_5_eta_0003,0,1620,405,0.572713295587661,0.6682692307692307,0.5743801652892562,0.6177777777777776,0.5753086419753086,42,"{0: 4, 1: 5}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5702727613316128,0.2604402467084713,0.1692869919599159,"[494, 222, 299, 97, 668, 462, 1447, 1398, 1466]","[494, 222, 299, 97]","[668, 462, 1447, 1398, 1466]",4,5
m3glvq_k0_4_k1_5_eta_0003,1,1620,405,0.5601571651698555,0.6634615384615384,0.563265306122449,0.609271523178808,0.562962962962963,42,"{0: 4, 1: 5}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3555493583865767,0.3306825504625368,0.3137680911508864,"[470, 294, 870, 1494, 644, 623, 1349, 1442, 1390]","[470, 294, 870, 1494]","[644, 623, 1349, 1442, 1390]",4,5
m3glvq_k0_4_k1_5_eta_0003,2,1620,405,0.57231062085123,0.6826923076923077,0.5725806451612904,0.6228070175438598,0.5753086419753086,42,"{0: 4, 1: 5}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4999512569843943,0.2843172369961399,0.2157315060194657,"[1005, 1247, 1503, 1351, 1392, 978, 1239, 1442, 1359]","[1005, 1247, 1503, 1351]","[1392, 978, 1239, 1442, 1359]",4,5
m3glvq_k0_4_k1_5_eta_0003,3,1620,405,0.5557751427316644,0.5458937198067633,0.5678391959798995,0.5566502463054187,0.5555555555555556,42,"{0: 4, 1: 5}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5624239895456766,0.300929602290193,0.1366464081641303,"[482, 504, 1134, 957, 1355, 1041, 771, 1444, 1008]","[482, 504, 1134, 957]","[1355, 1041, 771, 1444, 1008]",4,5
m3glvq_k0_4_k1_5_eta_0003,4,1620,405,0.5253623188405797,0.5507246376811594,0.5352112676056338,0.5428571428571428,0.5259259259259259,42,"{0: 4, 1: 5}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5764758294521947,0.269007582553825,0.1545165879939803,"[1148, 384, 973, 233, 766, 207, 171, 759, 1025]","[1148, 384, 973, 233]","[766, 207, 171, 759, 1025]",4,5
m3glvq_k0_4_k1_6_eta_0003,0,1620,405,0.5752391643889105,0.7596153846153846,0.5683453237410072,0.6502057613168725,0.5802469135802469,42,"{0: 4, 1: 6}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4080107097688572,0.3101373716649934,0.2818519185661494,"[494, 1106, 1499, 299, 745, 668, 65, 810, 1357, 366]","[494, 1106, 1499, 299]","[745, 668, 65, 810, 1357, 366]",4,6
m3glvq_k0_4_k1_6_eta_0003,1,1620,405,0.569369875048809,0.6971153846153846,0.5686274509803921,0.6263498920086393,0.5728395061728395,42,"{0: 4, 1: 6}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.3617012795624388,0.3202096657148516,0.3180890547227095,"[1494, 470, 378, 870, 1442, 233, 1390, 1349, 984, 364]","[1494, 470, 378, 870]","[1442, 233, 1390, 1349, 984, 364]",4,6
m3glvq_k0_4_k1_6_eta_0003,2,1620,405,0.5747144670050761,0.6875,0.5742971887550201,0.6258205689277899,0.5777777777777777,42,"{0: 4, 1: 6}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4700688856711648,0.4153830793352334,0.1145480349936017,"[1541, 1005, 1476, 1064, 910, 1442, 353, 1359, 297, 978]","[1541, 1005, 1476, 1064]","[910, 1442, 353, 1359, 297, 978]",4,6
m3glvq_k0_4_k1_6_eta_0003,3,1620,405,0.5670838823012736,0.714975845410628,0.5627376425855514,0.6297872340425532,0.5703703703703704,42,"{0: 4, 1: 6}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.4396029900840445,0.4319974546819343,0.1283995552340212,"[957, 302, 1492, 14, 1431, 1064, 1008, 370, 1444, 194]","[957, 302, 1492, 14]","[1431, 1064, 1008, 370, 1444, 194]",4,6
m3glvq_k0_4_k1_6_eta_0003,4,1620,405,0.5714756258234519,0.7439613526570048,0.5641025641025641,0.6416666666666667,0.5753086419753086,42,"{0: 4, 1: 6}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.36048552268967,0.3239216946621783,0.3155927826481516,"[973, 233, 1053, 804, 34, 1368, 759, 1025, 1389, 1258]","[973, 233, 1053, 804]","[34, 1368, 759, 1025, 1389, 1258]",4,6
m3glvq_k0_4_k1_7_eta_0003,0,1620,405,0.5601449629051152,0.7548076923076923,0.5567375886524822,0.6408163265306123,0.5654320987654321,42,"{0: 4, 1: 7}",150,0.003,[0.33333333 0.33333333 0.33333333],True,True,True,0.5311573723461955,0.3361509704140957,0.1326916572397086,"[983, 1269, 1499, 1106, 463, 745, 1357, 1217, 366, 1155, 668]","[983, 1269, 1499, 1106]","[463, 745, 1357, 1217, 366, 1155, 668]",4,7
