customer_id,y,mu,d_plus,d_minus,knn_purity,knn_mean,view,fold,y_true,y_pred,correct
149736,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,0,0
149747,1,0.0,0.0,0.0,0.6,0.0,naics,1,1,0,0
149758,0,0.0,0.0,0.0,0.6,0.0,naics,3,0,0,1
14979,0,0.0,0.0,0.0,0.5,0.0,naics,1,0,1,0
149804,0,0.0,0.0,0.0,0.4,0.0,naics,2,0,0,1
149805,1,0.0,0.0,0.0,0.4,0.0,naics,1,1,0,0
149808,0,0.4545454545446281,0.4,0.15,0.4,0.4049999999999999,naics,1,0,0,1
150,1,0.0,0.0,0.0,0.5,0.0,naics,4,1,0,0
1501,1,0.0,0.0,0.0,0.8,0.0,naics,1,1,1,1
150139,0,0.0,0.0,0.0,0.6,0.24,naics,2,0,0,1
150145,0,-0.53846153846071,0.15,0.5,0.6,0.4599999999999999,naics,3,0,0,1
150169,1,0.0,0.0,0.0,0.6,0.0,naics,4,1,1,1
150170,1,0.0,0.0,0.0,0.8,0.0,naics,1,1,1,1
150171,1,0.0,0.0,0.0,0.7,0.0,naics,5,1,0,0
15021,1,0.0,0.0,0.0,0.8,0.0,naics,3,1,1,1
150253,1,0.0,0.0,0.0,1.0,0.0,naics,3,1,1,1
150271,0,0.0,0.0,0.0,0.2,0.0,naics,2,0,1,0
150308,1,0.0,0.0,0.0,0.7,0.015,naics,5,1,1,1
150338,0,0.0,0.0,0.0,0.7,0.0,naics,3,0,0,1
150360,0,0.0,0.0,0.0,0.5,0.0,naics,1,0,1,0
150434,0,0.0,0.0,0.0,0.4,0.0,naics,2,0,1,0
150438,0,0.0,0.6666666666666666,0.6666666666666666,0.8,0.6,naics,3,0,0,1
150444,1,0.0,0.0,0.0,0.8,0.0,naics,3,1,1,1
150465,0,0.0,0.0,0.0,0.5,0.0,naics,4,0,0,1
150469,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,1,1
150495,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,0,0
150546,0,0.0,0.0,0.0,0.7,0.0,naics,4,0,1,0
150555,1,0.0,0.0,0.0,0.4,0.0,naics,3,1,1,1
150669,0,0.0,0.0,0.0,0.3,0.0,naics,2,0,0,1
150728,1,0.0,0.0,0.0,0.6,0.03,naics,5,1,0,0
15077,0,0.0,0.0,0.0,0.7,0.0,naics,5,0,1,0
15079,1,0.0,0.0,0.0,0.1,0.0,naics,4,1,0,0
150878,1,0.0,0.0,0.0,0.8,0.0,naics,4,1,1,1
150928,0,0.0,0.0,0.0,0.7,0.0,naics,1,0,0,1
150930,0,0.0,0.0,0.0,0.7,0.015,naics,3,0,0,1
150937,0,0.0,0.0,0.0,0.7,0.0,naics,5,0,0,1
150964,0,0.0,0.0,0.0,0.7,0.0,naics,5,0,0,1
150972,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,1,0
150976,1,0.0,0.0,0.0,0.5,0.0,naics,5,1,1,1
151,1,0.0,0.0,0.0,0.5,0.0,naics,2,1,0,0
151001,0,0.0,0.0,0.0,0.6,0.03,naics,2,0,0,1
151050,0,0.0,0.0,0.0,0.3,0.0,naics,4,0,1,0
151116,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,0,1
15113,0,0.0,0.0,0.0,0.7,0.0,naics,5,0,0,1
151155,0,0.0,0.0,0.0,0.7,0.0,naics,4,0,0,1
151181,0,0.0,0.0,0.0,0.4,0.045,naics,4,0,1,0
151209,0,0.0,0.0,0.0,0.3,0.165,naics,5,0,0,1
151253,0,0.0,0.0,0.0,0.7,0.0,naics,1,0,0,1
151260,0,0.0,0.0,0.0,0.8,0.0,naics,1,0,0,1
151314,1,0.0,0.0,0.0,0.3,0.0,naics,1,1,0,0
151319,0,0.0,0.0,0.0,0.6,0.015,naics,1,0,0,1
151320,0,0.0,0.7,0.7,0.8,0.7816666666666666,naics,5,0,0,1
151324,1,0.0,0.0,0.0,0.7,0.0,naics,2,1,0,0
151334,0,0.0,0.0,0.0,0.2,0.0,naics,4,0,1,0
151391,0,0.0,0.0,0.0,0.5,0.0,naics,5,0,0,1
151423,1,0.0,0.0,0.0,0.5,0.0,naics,3,1,0,0
151470,0,-0.9999999999933332,0.0,0.15,0.7,0.165,naics,4,0,0,1
151495,0,0.9999999999933332,0.15,0.0,0.8,0.15,naics,4,0,0,1
151545,1,0.0,0.0,0.0,0.3,0.0,naics,5,1,0,0
151557,0,0.0,0.0,0.0,0.6,0.0,naics,1,0,0,1
151603,0,0.0,0.0,0.0,0.7,0.015,naics,2,0,0,1
151621,0,0.0,0.0,0.0,0.9,0.2466666666666666,naics,3,0,0,1
151655,0,-0.999999999998,0.0,0.5,0.7,0.375,naics,2,0,0,1
151656,0,0.0,0.0,0.0,0.8,0.18,naics,2,0,0,1
151740,1,0.1428571428570204,0.6666666666666666,0.5,0.2,0.5833333333333334,naics,4,1,0,0
151832,1,0.0,0.0,0.0,0.6,0.015,naics,5,1,1,1
151866,1,0.0,0.0,0.0,0.6,0.0,naics,2,1,1,1
151893,1,0.0,0.0,0.0,0.6,0.0,naics,3,1,1,1
151943,1,0.0,0.0,0.0,0.9,0.0,naics,4,1,1,1
15200,1,0.0,0.0,0.0,0.5,0.0,naics,4,1,1,1
152036,0,0.0,0.0,0.0,0.3,0.0,naics,3,0,0,1
152037,0,0.0,0.0,0.0,0.3,0.075,naics,5,0,1,0
152040,1,0.0,0.0,0.0,0.8,0.0,naics,3,1,1,1
152060,1,0.0,0.0,0.0,0.7,0.09,naics,2,1,0,0
152079,0,0.0,0.0,0.0,0.8,0.0,naics,4,0,0,1
152150,1,0.0,0.0,0.0,0.6,0.09,naics,3,1,1,1
152156,1,0.0,0.0,0.0,0.5,0.0,naics,5,1,1,1
152186,0,0.0,0.0,0.0,0.5,0.0,naics,5,0,0,1
15219,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,0,0
152217,0,-0.2499999999996875,0.3,0.5,0.7,0.47,naics,1,0,0,1
1523,1,0.9999999999933332,0.15,0.0,0.7,0.185,naics,4,1,1,1
152324,0,0.0,0.0,0.0,0.9,0.0,naics,4,0,0,1
152366,1,0.0909090909090358,0.9,0.75,0.4,0.7900000000000001,naics,3,1,0,0
152367,0,0.9999999999933332,0.15,0.0,0.4,0.105,naics,2,0,0,1
152387,0,0.0,0.0,0.0,0.6,0.075,naics,2,0,0,1
152388,0,-0.9999999999933332,0.0,0.15,0.8,0.09,naics,2,0,1,0
152396,0,0.0,0.0,0.0,0.6,0.045,naics,4,0,0,1
